game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
1,1,B,b28_v2,Q16,323.176,57.48,42.111,False
1,2,W,b18_v10,D4,128.331,40.845,58.551,False
1,3,B,b28_v2,Q3,357.234,56.946,42.921,False
1,4,W,b18_v10,D16,128.005,44.331,58.627,False
1,5,B,b28_v2,O17,358.483,58.685,41.582,False
1,6,W,b18_v10,R5,128.392,45.195,59.041,False
1,7,B,b28_v2,O4,309.024,58.63,42.544,False
1,8,W,b18_v10,R14,128.216,46.87,57.936,False
1,9,B,b28_v2,R15,313.08,58.923,44.153,False
1,10,W,b18_v10,Q14,128.399,47.754,58.744,False
1,11,B,b28_v2,R9,310.595,57.33,42.979,False
1,12,W,b18_v10,N14,127.751,47.994,58.616,False
1,13,B,b28_v2,R12,310.727,59.523,41.049,False
1,14,W,b18_v10,N16,130.265,46.621,60.754,False
1,15,B,b28_v2,N17,311.652,62.643,40.969,False
1,16,W,b18_v10,M16,129.552,45.24,60.655,False
1,17,B,b28_v2,L18,316.944,62.417,40.88,False
1,18,W,b18_v10,F3,130.323,44.759,62.061,False
1,19,B,b28_v2,R4,313.882,64.172,40.507,False
1,20,W,b18_v10,S4,130.479,42.467,62.215,False
1,21,B,b28_v2,S3,315.73,61.933,42.644,False
1,22,W,b18_v10,C10,132.024,42.381,60.84,False
1,23,B,b28_v2,P12,334.215,63.384,39.91,False
1,24,W,b18_v10,Q8,142.213,43.39,60.921,False
1,25,B,b28_v2,Q9,323.95,60.747,39.839,False
1,26,W,b18_v10,O8,131.217,42.565,61.323,False
1,27,B,b28_v2,K16,316.035,61.875,39.789,False
1,28,W,b18_v10,K15,129.499,42.836,60.463,False
1,29,B,b28_v2,J15,316.904,59.58,41.57,False
1,30,W,b18_v10,K14,130.46,43.184,60.686,False
1,31,B,b28_v2,J14,328.217,63.268,40.784,False
1,32,W,b18_v10,K13,131.372,41.416,62.654,False
1,33,B,b28_v2,J13,316.639,63.215,40.511,False
1,34,W,b18_v10,K12,133.424,39.665,62.651,False
1,35,B,b28_v2,C14,323.894,63.206,39.305,False
1,36,W,b18_v10,F17,133.219,39.855,63.142,False
1,37,B,b28_v2,B16,324.365,63.291,38.032,False
1,38,W,b18_v10,C17,132.594,40.764,63.391,False
1,39,B,b28_v2,D15,323.089,63.239,39.322,False
1,40,W,b18_v10,P9,130.992,39.926,63.988,False
1,41,B,b28_v2,R8,323.99,68.35,37.145,False
1,42,W,b18_v10,Q7,135.357,40.129,69.261,False
1,43,B,b28_v2,P10,326.561,69.802,36.807,False
1,44,W,b18_v10,O10,131.313,40.772,67.533,False
1,45,B,b28_v2,O11,326.245,71.881,38.953,False
1,46,W,b18_v10,N10,134.423,40.804,68.127,False
1,47,B,b28_v2,E16,354.332,68.791,37.0,False
1,48,W,b18_v10,E17,132.229,34.727,70.578,False
1,49,B,b28_v2,C16,323.613,69.907,34.358,False
1,50,W,b18_v10,D17,135.699,34.149,69.479,False
1,51,B,b28_v2,B5,339.035,67.649,34.569,False
1,52,W,b18_v10,B4,140.371,36.523,66.572,False
1,53,B,b28_v2,D9,326.546,68.708,37.01,False
1,54,W,b18_v10,D10,131.996,36.477,69.988,False
1,55,B,b28_v2,E10,321.109,69.71,34.779,False
1,56,W,b18_v10,E11,132.213,36.11,69.291,False
1,57,B,b28_v2,C9,328.051,71.993,34.579,False
1,58,W,b18_v10,F11,134.54,36.232,66.406,False
1,59,B,b28_v2,C4,322.323,68.303,35.139,False
1,60,W,b18_v10,C5,138.09,35.95,63.575,False
1,61,B,b28_v2,C3,325.348,68.526,39.751,False
1,62,W,b18_v10,B6,133.996,37.565,65.754,False
1,63,B,b28_v2,D5,325.039,63.256,41.853,False
1,64,W,b18_v10,C6,134.381,40.857,61.324,False
1,65,B,b28_v2,E4,322.466,65.076,40.887,False
1,66,W,b18_v10,D3,130.852,38.948,64.978,False
1,67,B,b28_v2,E3,321.163,66.551,43.192,False
1,68,W,b18_v10,D2,131.749,37.369,66.617,False
1,69,B,b28_v2,E2,324.874,69.16,43.934,False
1,70,W,b18_v10,C2,134.274,35.66,64.659,False
1,71,B,b28_v2,D6,325.214,76.003,28.414,False
1,72,W,b18_v10,D7,135.382,22.888,77.572,False
1,73,B,b28_v2,E7,324.776,80.812,29.729,False
1,74,W,b18_v10,E8,132.34,27.387,73.484,False
1,75,B,b28_v2,C7,334.519,88.568,22.283,False
1,76,W,b18_v10,D8,131.775,30.078,75.075,False
1,77,B,b28_v2,B3,319.44,80.193,29.722,False
1,78,W,b18_v10,E5,133.344,21.4,74.911,False
1,79,B,b28_v2,E6,319.683,65.947,48.67,False
1,80,W,b18_v10,F5,132.399,33.729,58.618,False
1,81,B,b28_v2,G6,323.56,50.404,51.1,False
1,82,W,b18_v10,F4,132.933,35.818,51.347,False
1,83,B,b28_v2,B2,319.732,66.802,51.231,False
1,84,W,b18_v10,F2,132.909,44.477,70.48,False
1,85,B,b28_v2,B7,318.653,74.657,41.591,False
1,86,W,b18_v10,A5,133.503,44.049,38.985,False
1,87,B,b28_v2,A7,320.686,28.036,84.908,False
1,88,W,b18_v10,A6,133.32,59.553,48.993,False
1,89,B,b28_v2,C1,325.035,47.551,69.548,False
1,90,W,b18_v10,E1,134.109,51.788,62.783,False
1,91,B,b28_v2,A3,323.359,79.197,44.852,False
1,92,W,b18_v10,F6,133.621,19.598,87.337,False
1,93,B,b28_v2,F7,322.032,84.794,29.014,False
1,94,W,b18_v10,G7,135.359,11.005,91.843,False
