game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
1,1,B,b28_v2,Q16,346.757,57.48,42.111,False
1,2,W,b18_v10,D4,171.153,40.845,58.551,False
1,3,B,b28_v2,Q3,344.561,56.946,42.921,False
1,4,W,b18_v10,D16,139.079,44.331,58.627,False
1,5,B,b28_v2,O17,318.022,58.685,41.582,False
1,6,W,b18_v10,R5,136.711,45.195,59.041,False
1,7,B,b28_v2,O4,312.311,58.63,42.544,False
1,8,W,b18_v10,R14,135.751,46.87,57.936,False
1,9,B,b28_v2,R15,369.124,58.923,44.153,False
1,10,W,b18_v10,Q14,133.028,47.754,58.744,False
1,11,B,b28_v2,R9,316.265,57.33,42.979,False
1,12,W,b18_v10,N14,132.532,47.994,58.616,False
1,13,B,b28_v2,R12,311.104,59.523,41.049,False
1,14,W,b18_v10,N16,131.826,46.621,60.754,False
1,15,B,b28_v2,N17,315.23,62.643,40.969,False
1,16,W,b18_v10,M16,129.148,45.24,60.655,False
1,17,B,b28_v2,L18,347.755,62.417,40.88,False
1,18,W,b18_v10,F3,129.871,44.759,62.061,False
1,19,B,b28_v2,R4,321.035,64.172,40.507,False
1,20,W,b18_v10,S4,130.663,42.467,62.215,False
1,21,B,b28_v2,S3,324.664,61.933,42.644,False
1,22,W,b18_v10,C10,131.915,42.381,60.84,False
1,23,B,b28_v2,P12,319.152,63.384,39.91,False
1,24,W,b18_v10,Q8,132.95,43.39,60.921,False
1,25,B,b28_v2,Q9,330.467,60.747,39.839,False
1,26,W,b18_v10,O8,132.259,42.565,61.323,False
1,27,B,b28_v2,K16,324.278,61.875,39.789,False
1,28,W,b18_v10,K15,131.527,42.836,60.463,False
1,29,B,b28_v2,J15,322.692,59.58,41.57,False
1,30,W,b18_v10,K14,131.811,43.184,60.686,False
1,31,B,b28_v2,J14,322.601,63.268,40.784,False
1,32,W,b18_v10,K13,130.766,41.416,62.654,False
1,33,B,b28_v2,J13,324.547,63.215,40.511,False
1,34,W,b18_v10,K12,144.189,39.665,62.651,False
1,35,B,b28_v2,C14,328.483,63.206,39.305,False
1,36,W,b18_v10,F17,128.535,39.855,63.142,False
1,37,B,b28_v2,B16,322.83,63.291,38.032,False
1,38,W,b18_v10,C17,133.733,40.764,63.391,False
1,39,B,b28_v2,D15,326.11,63.239,39.322,False
1,40,W,b18_v10,P9,138.723,39.926,63.988,False
1,41,B,b28_v2,R8,318.249,68.35,37.145,False
1,42,W,b18_v10,Q7,130.947,40.129,69.261,False
1,43,B,b28_v2,P10,325.485,69.802,36.807,False
1,44,W,b18_v10,O10,129.672,40.772,67.533,False
1,45,B,b28_v2,O11,321.56,71.881,38.953,False
1,46,W,b18_v10,N10,134.638,40.804,68.127,False
1,47,B,b28_v2,E16,316.025,68.791,37.0,False
1,48,W,b18_v10,E17,131.087,34.727,70.578,False
1,49,B,b28_v2,C16,318.271,69.907,34.358,False
1,50,W,b18_v10,D17,130.095,34.149,69.479,False
1,51,B,b28_v2,B5,322.813,67.649,34.569,False
1,52,W,b18_v10,B4,133.043,36.523,66.572,False
1,53,B,b28_v2,D9,326.518,68.708,37.01,False
1,54,W,b18_v10,D10,132.648,36.477,69.988,False
1,55,B,b28_v2,E10,326.456,69.71,34.779,False
1,56,W,b18_v10,E11,130.048,36.11,69.291,False
1,57,B,b28_v2,C9,331.354,71.993,34.579,False
1,58,W,b18_v10,F11,146.676,36.232,66.406,False
1,59,B,b28_v2,C4,326.438,68.303,35.139,False
1,60,W,b18_v10,C5,135.026,35.95,63.575,False
1,61,B,b28_v2,C3,348.945,68.526,39.751,False
1,62,W,b18_v10,B6,141.879,37.565,65.754,False
1,63,B,b28_v2,D5,343.07,63.256,41.853,False
1,64,W,b18_v10,C6,130.622,40.857,61.324,False
1,65,B,b28_v2,E4,319.004,65.076,40.887,False
1,66,W,b18_v10,D3,130.169,38.948,64.978,False
1,67,B,b28_v2,E3,321.365,66.551,43.192,False
1,68,W,b18_v10,D2,130.226,37.369,66.617,False
1,69,B,b28_v2,E2,328.943,69.16,43.934,False
1,70,W,b18_v10,C2,130.529,35.66,64.659,False
1,71,B,b28_v2,D6,324.12,76.003,28.414,False
1,72,W,b18_v10,D7,128.543,22.888,77.572,False
1,73,B,b28_v2,E7,324.645,80.812,29.729,False
1,74,W,b18_v10,E8,130.813,27.387,73.484,False
1,75,B,b28_v2,C7,345.272,88.568,22.283,False
1,76,W,b18_v10,D8,129.917,30.078,75.075,False
1,77,B,b28_v2,B3,319.854,80.193,29.722,False
1,78,W,b18_v10,E5,130.327,21.4,74.911,False
1,79,B,b28_v2,E6,321.639,65.947,48.67,False
1,80,W,b18_v10,F5,130.677,33.729,58.618,False
1,81,B,b28_v2,G6,318.488,50.404,51.1,False
1,82,W,b18_v10,F4,129.959,35.818,51.347,False
1,83,B,b28_v2,B2,322.017,66.802,51.231,False
1,84,W,b18_v10,F2,130.21,44.477,70.48,False
1,85,B,b28_v2,B7,324.217,74.657,41.591,False
1,86,W,b18_v10,A5,134.23,44.049,38.985,False
1,87,B,b28_v2,A7,321.597,28.036,84.908,False
1,88,W,b18_v10,A6,130.833,59.553,48.993,False
1,89,B,b28_v2,C1,320.779,47.551,69.548,False
1,90,W,b18_v10,E1,131.721,51.788,62.783,False
1,91,B,b28_v2,A3,324.449,79.197,44.852,False
1,92,W,b18_v10,F6,132.199,19.598,87.337,False
1,93,B,b28_v2,F7,327.548,84.794,29.014,False
1,94,W,b18_v10,G7,131.828,11.005,91.843,False
1,95,B,b28_v2,F8,321.707,91.949,11.981,False
1,96,W,b18_v10,E9,132.034,7.49,96.144,False
1,97,B,b28_v2,G8,323.364,98.561,3.1,False
1,98,W,b18_v10,C8,130.336,3.144,98.343,False
1,99,B,b28_v2,A4,335.039,98.053,4.688,False
1,100,W,b18_v10,J16,137.689,3.125,98.2,False
1,101,B,b28_v2,H16,324.662,97.793,5.701,False
1,102,W,b18_v10,RESIGN,133.938,3.15,98.161,False
2,1,B,b28_v2,Q16,0.78,57.48,42.111,False
2,2,W,b18_v10,D4,0.784,40.845,58.551,False
2,3,B,b28_v2,Q3,0.763,56.946,42.921,False
2,4,W,b18_v10,D16,0.784,44.331,58.627,False
2,5,B,b28_v2,O17,0.812,58.685,41.582,False
2,6,W,b18_v10,R5,0.808,45.195,59.041,False
2,7,B,b28_v2,O4,0.866,58.63,42.544,False
2,8,W,b18_v10,R14,0.823,46.87,57.936,False
2,9,B,b28_v2,R15,0.811,58.923,44.153,False
2,10,W,b18_v10,Q14,0.824,47.754,58.744,False
2,11,B,b28_v2,R9,0.81,57.33,42.979,False
2,12,W,b18_v10,N14,0.794,47.994,58.616,False
2,13,B,b28_v2,R12,0.78,59.523,41.049,False
2,14,W,b18_v10,N16,0.86,46.621,60.754,False
2,15,B,b28_v2,N17,0.789,62.643,40.969,False
2,16,W,b18_v10,M16,0.782,45.24,60.655,False
2,17,B,b28_v2,L18,0.779,62.417,40.88,False
2,18,W,b18_v10,F3,0.81,44.759,62.061,False
2,19,B,b28_v2,R4,0.83,64.172,40.507,False
2,20,W,b18_v10,S4,0.783,42.467,62.215,False
2,21,B,b28_v2,S3,0.76,61.933,42.644,False
2,22,W,b18_v10,C10,0.797,42.381,60.84,False
2,23,B,b28_v2,P12,0.772,63.384,39.91,False
2,24,W,b18_v10,Q8,0.823,43.39,60.921,False
2,25,B,b28_v2,Q9,0.785,60.747,39.839,False
2,26,W,b18_v10,O8,0.813,42.565,61.323,False
2,27,B,b28_v2,K16,0.79,61.875,39.789,False
2,28,W,b18_v10,K15,0.848,42.836,60.463,False
2,29,B,b28_v2,J15,0.805,59.58,41.57,False
2,30,W,b18_v10,K14,0.811,43.184,60.686,False
2,31,B,b28_v2,J14,0.882,63.268,40.784,False
2,32,W,b18_v10,K13,0.779,41.416,62.654,False
2,33,B,b28_v2,J13,0.857,63.215,40.511,False
2,34,W,b18_v10,K12,0.862,39.665,62.651,False
2,35,B,b28_v2,C14,0.786,63.206,39.305,False
2,36,W,b18_v10,F17,0.854,39.855,63.142,False
2,37,B,b28_v2,B16,0.761,63.291,38.032,False
2,38,W,b18_v10,C17,0.867,40.764,63.391,False
2,39,B,b28_v2,D15,0.845,63.239,39.322,False
2,40,W,b18_v10,P9,0.772,39.926,63.988,False
2,41,B,b28_v2,R8,0.795,68.35,37.145,False
2,42,W,b18_v10,Q7,0.849,40.129,69.261,False
2,43,B,b28_v2,P10,0.829,69.802,36.807,False
2,44,W,b18_v10,O10,1.095,40.772,67.533,False
2,45,B,b28_v2,O11,0.863,71.881,38.953,False
