game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
1,1,B,b28_v2,Q16,340.44,57.48,42.111,False
1,2,W,b18_v10,D4,132.581,40.845,58.551,False
1,3,B,b28_v2,Q3,318.882,56.946,42.921,False
1,4,W,b18_v10,D16,136.4,44.331,58.627,False
1,5,B,b28_v2,O17,318.591,58.685,41.582,False
1,6,W,b18_v10,R5,132.211,45.195,59.041,False
1,7,B,b28_v2,O4,318.829,58.63,42.544,False
1,8,W,b18_v10,R14,130.165,46.87,57.936,False
1,9,B,b28_v2,R15,344.908,58.923,44.153,False
1,10,W,b18_v10,Q14,129.986,47.754,58.744,False
1,11,B,b28_v2,R9,314.603,57.33,42.979,False
1,12,W,b18_v10,N14,129.811,47.994,58.616,False
1,13,B,b28_v2,R12,318.124,59.523,41.049,False
1,14,W,b18_v10,N16,130.845,46.621,60.754,False
1,15,B,b28_v2,N17,315.134,62.643,40.969,False
1,16,W,b18_v10,M16,131.616,45.24,60.655,False
1,17,B,b28_v2,L18,320.006,62.417,40.88,False
1,18,W,b18_v10,F3,132.17,44.759,62.061,False
1,19,B,b28_v2,R4,319.543,64.172,40.507,False
1,20,W,b18_v10,S4,133.124,42.467,62.215,False
1,21,B,b28_v2,S3,316.914,61.933,42.644,False
1,22,W,b18_v10,C10,129.565,42.381,60.84,False
1,23,B,b28_v2,P12,322.936,63.384,39.91,False
1,24,W,b18_v10,Q8,130.357,43.39,60.921,False
1,25,B,b28_v2,Q9,318.384,60.747,39.839,False
1,26,W,b18_v10,O8,134.907,42.565,61.323,False
1,27,B,b28_v2,K16,320.585,61.875,39.789,False
1,28,W,b18_v10,K15,172.798,42.836,60.463,False
1,29,B,b28_v2,J15,319.626,59.58,41.57,False
1,30,W,b18_v10,K14,132.247,43.184,60.686,False
1,31,B,b28_v2,J14,325.587,63.268,40.784,False
1,32,W,b18_v10,K13,139.365,41.416,62.654,False
1,33,B,b28_v2,J13,323.484,63.215,40.511,False
1,34,W,b18_v10,K12,131.359,39.665,62.651,False
1,35,B,b28_v2,C14,319.262,63.206,39.305,False
1,36,W,b18_v10,F17,131.1,39.855,63.142,False
1,37,B,b28_v2,B16,322.327,63.291,38.032,False
1,38,W,b18_v10,C17,132.783,40.764,63.391,False
1,39,B,b28_v2,D15,327.347,63.239,39.322,False
1,40,W,b18_v10,P9,138.337,39.926,63.988,False
1,41,B,b28_v2,R8,325.044,68.35,37.145,False
1,42,W,b18_v10,Q7,132.148,40.129,69.261,False
1,43,B,b28_v2,P10,332.47,69.802,36.807,False
1,44,W,b18_v10,O10,133.806,40.772,67.533,False
1,45,B,b28_v2,O11,332.147,71.881,38.953,False
1,46,W,b18_v10,N10,134.36,40.804,68.127,False
1,47,B,b28_v2,E16,343.477,68.791,37.0,False
1,48,W,b18_v10,E17,138.485,34.727,70.578,False
1,49,B,b28_v2,C16,334.462,69.907,34.358,False
1,50,W,b18_v10,D17,142.764,34.149,69.479,False
1,51,B,b28_v2,B5,328.088,67.649,34.569,False
1,52,W,b18_v10,B4,133.409,36.523,66.572,False
1,53,B,b28_v2,D9,344.621,68.708,37.01,False
1,54,W,b18_v10,D10,134.267,36.477,69.988,False
1,55,B,b28_v2,E10,337.381,69.71,34.779,False
1,56,W,b18_v10,E11,135.998,36.11,69.291,False
1,57,B,b28_v2,C9,329.76,71.993,34.579,False
1,58,W,b18_v10,F11,135.618,36.232,66.406,False
1,59,B,b28_v2,C4,326.966,68.303,35.139,False
1,60,W,b18_v10,C5,134.468,35.95,63.575,False
1,61,B,b28_v2,C3,334.437,68.526,39.751,False
1,62,W,b18_v10,B6,134.061,37.565,65.754,False
1,63,B,b28_v2,D5,325.755,63.256,41.853,False
1,64,W,b18_v10,C6,136.673,40.857,61.324,False
1,65,B,b28_v2,E4,331.4,65.076,40.887,False
