game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
8,59,B,b18_v10,H18,842.231,65.456,32.713,False
8,60,W,b28_v2,E18,358.797,67.901,64.195,False
8,61,B,b18_v10,K10,705.114,69.152,32.27,False
8,62,W,b28_v2,J9,339.613,67.185,69.295,False
8,63,B,b18_v10,H9,840.775,67.693,34.549,False
8,64,W,b28_v2,H11,340.103,68.371,69.24,False
8,65,B,b18_v10,H10,984.907,69.889,30.664,False
8,66,W,b28_v2,B19,341.802,78.658,68.625,False
8,67,B,b18_v10,M10,843.75,71.406,21.661,False
8,68,W,b28_v2,C11,339.761,80.67,71.285,False
8,69,B,b18_v10,E3,1155.043,76.342,20.974,False
8,70,W,b28_v2,D3,343.449,81.93,70.152,False
8,71,B,b18_v10,D11,917.218,78.078,15.546,False
8,72,W,b28_v2,C10,340.791,84.074,76.374,False
8,73,B,b18_v10,F13,983.268,77.925,15.864,False
8,74,W,b28_v2,D12,339.275,82.866,77.063,False
8,75,B,b18_v10,R6,1167.91,78.366,17.114,False
8,76,W,b28_v2,S7,345.061,75.146,78.238,False
8,77,B,b18_v10,R2,1152.947,75.116,20.117,False
8,78,W,b28_v2,S2,362.217,82.733,75.728,False
8,79,B,b18_v10,S5,732.145,72.274,18.482,False
8,80,W,b28_v2,Q2,340.622,78.694,74.899,False
8,81,B,b18_v10,R5,715.738,67.81,21.283,False
8,82,W,b28_v2,N8,389.841,76.622,73.706,False
8,83,B,b18_v10,O9,1318.216,70.67,23.672,False
8,84,W,b28_v2,N6,340.053,70.833,71.73,False
8,85,B,b18_v10,P2,1256.311,64.65,24.718,False
8,86,W,b28_v2,R1,345.964,66.327,65.995,False
8,87,B,b18_v10,Q12,977.433,63.932,31.626,False
8,88,W,b28_v2,O3,354.503,70.015,62.656,False
8,89,B,b18_v10,P3,1258.873,62.916,29.681,False
8,90,W,b28_v2,N4,366.337,60.419,60.824,False
8,91,B,b18_v10,N3,975.34,61.932,39.125,False
8,92,W,b28_v2,O4,339.755,64.534,66.052,False
8,93,B,b18_v10,O2,422.683,60.16,33.184,False
8,94,W,b28_v2,F12,339.16,61.901,65.672,False
8,95,B,b18_v10,G12,279.38,58.315,35.78,False
8,96,W,b28_v2,B12,340.249,59.384,56.747,False
8,97,B,b18_v10,F11,1123.159,58.114,38.983,False
8,98,W,b28_v2,E12,343.261,59.158,62.254,False
8,99,B,b18_v10,S12,1118.019,49.311,44.83,False
8,100,W,b28_v2,Q14,393.206,56.287,50.458,False
8,101,B,b18_v10,P14,1263.002,45.558,48.202,False
8,102,W,b28_v2,S13,341.488,38.709,46.916,False
8,103,B,b18_v10,Q13,286.467,48.651,59.138,False
8,104,W,b28_v2,S4,345.1,44.342,48.247,False
8,105,B,b18_v10,T5,1280.224,39.295,52.944,False
8,106,W,b28_v2,O8,339.744,39.081,44.418,False
8,107,B,b18_v10,P8,1271.125,45.903,60.573,False
8,108,W,b28_v2,P15,342.628,53.922,48.592,False
8,109,B,b18_v10,N9,556.403,46.756,47.367,False
8,110,W,b28_v2,P7,339.406,50.164,48.081,False
8,111,B,b18_v10,Q8,1276.259,58.756,50.689,False
8,112,W,b28_v2,R15,375.453,63.842,55.88,False
8,113,B,b18_v10,O16,1006.967,72.847,37.847,False
8,114,W,b28_v2,S11,340.447,65.055,76.184,False
8,115,B,b18_v10,T12,297.305,72.751,34.92,False
8,116,W,b28_v2,R12,347.483,80.545,59.542,False
8,117,B,b18_v10,R13,568.359,86.646,18.859,False
8,118,W,b28_v2,RESIGN,0.0,4.344,79.228,True
9,1,B,b18_v10,Q16,0.274,57.347,42.52,False
9,2,W,b28_v2,D4,0.211,56.936,59.155,False
9,3,B,b18_v10,Q4,0.441,57.36,43.054,False
9,4,W,b28_v2,D16,0.21,57.853,56.295,False
9,5,B,b18_v10,C17,0.411,56.806,42.128,False
9,6,W,b28_v2,D17,0.203,57.057,57.342,False
9,7,B,b18_v10,C16,0.339,56.64,42.368,False
9,8,W,b28_v2,D15,0.211,58.474,57.6,False
9,9,B,b18_v10,B14,0.334,56.519,40.946,False
9,10,W,b28_v2,R3,0.215,57.206,56.454,False
9,11,B,b18_v10,Q3,0.38,56.035,42.982,False
9,12,W,b28_v2,R4,0.217,56.78,56.781,False
9,13,B,b18_v10,Q5,0.36,56.022,42.88,False
9,14,W,b28_v2,S6,0.223,58.118,55.965,False
9,15,B,b18_v10,F3,0.325,56.44,42.234,False
9,16,W,b28_v2,H3,0.217,58.33,55.845,False
