game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
1,1,B,b28_v2,Q16,347.555,57.48,42.111,False
1,2,W,b18_v10,D4,141.14,40.845,58.551,False
1,3,B,b28_v2,Q3,342.152,56.946,42.921,False
1,4,W,b18_v10,D16,142.001,44.331,58.627,False
1,5,B,b28_v2,O17,339.255,58.685,41.582,False
1,6,W,b18_v10,R5,140.363,45.195,59.041,False
1,7,B,b28_v2,O4,344.802,58.63,42.544,False
1,8,W,b18_v10,R14,146.898,46.87,57.936,False
1,9,B,b28_v2,R15,349.919,58.923,44.153,False
1,10,W,b18_v10,Q14,146.16,47.754,58.744,False
1,11,B,b28_v2,R9,360.872,57.33,42.979,False
1,12,W,b18_v10,N14,145.164,47.994,58.616,False
1,13,B,b28_v2,R12,350.383,59.523,41.049,False
1,14,W,b18_v10,N16,147.038,46.621,60.754,False
1,15,B,b28_v2,N17,380.621,62.643,40.969,False
1,16,W,b18_v10,M16,148.039,45.24,60.655,False
1,17,B,b28_v2,L18,345.969,62.417,40.88,False
1,18,W,b18_v10,F3,145.908,44.759,62.061,False
1,19,B,b28_v2,R4,359.827,64.172,40.507,False
1,20,W,b18_v10,S4,146.393,42.467,62.215,False
1,21,B,b28_v2,S3,348.854,61.933,42.644,False
1,22,W,b18_v10,C10,144.601,42.381,60.84,False
1,23,B,b28_v2,P12,379.688,63.384,39.91,False
1,24,W,b18_v10,Q8,143.801,43.39,60.921,False
1,25,B,b28_v2,Q9,344.378,60.747,39.839,False
1,26,W,b18_v10,O8,141.427,42.565,61.323,False
1,27,B,b28_v2,K16,343.847,61.875,39.789,False
1,28,W,b18_v10,K15,147.734,42.836,60.463,False
1,29,B,b28_v2,J15,370.721,59.58,41.57,False
1,30,W,b18_v10,K14,140.516,43.184,60.686,False
1,31,B,b28_v2,J14,340.768,63.268,40.784,False
1,32,W,b18_v10,K13,141.919,41.416,62.654,False
1,33,B,b28_v2,J13,344.813,63.215,40.511,False
1,34,W,b18_v10,K12,143.321,39.665,62.651,False
1,35,B,b28_v2,C14,341.75,63.206,39.305,False
1,36,W,b18_v10,F17,140.557,39.855,63.142,False
1,37,B,b28_v2,B16,341.462,63.291,38.032,False
1,38,W,b18_v10,C17,144.783,40.764,63.391,False
1,39,B,b28_v2,D15,341.339,63.239,39.322,False
1,40,W,b18_v10,P9,140.496,39.926,63.988,False
1,41,B,b28_v2,R8,338.637,68.35,37.145,False
1,42,W,b18_v10,Q7,140.343,40.129,69.261,False
1,43,B,b28_v2,P10,339.232,69.802,36.807,False
1,44,W,b18_v10,O10,140.255,40.772,67.533,False
1,45,B,b28_v2,O11,340.464,71.881,38.953,False
1,46,W,b18_v10,N10,140.152,40.804,68.127,False
1,47,B,b28_v2,E16,338.373,68.791,37.0,False
1,48,W,b18_v10,E17,140.235,34.727,70.578,False
1,49,B,b28_v2,C16,347.478,69.907,34.358,False
1,50,W,b18_v10,D17,142.405,34.149,69.479,False
1,51,B,b28_v2,B5,339.075,67.649,34.569,False
1,52,W,b18_v10,B4,140.063,36.523,66.572,False
1,53,B,b28_v2,D9,339.228,68.708,37.01,False
1,54,W,b18_v10,D10,140.733,36.477,69.988,False
1,55,B,b28_v2,E10,344.435,69.71,34.779,False
1,56,W,b18_v10,E11,141.604,36.11,69.291,False
1,57,B,b28_v2,C9,340.32,71.993,34.579,False
1,58,W,b18_v10,F11,143.97,36.232,66.406,False
1,59,B,b28_v2,C4,344.708,68.303,35.139,False
1,60,W,b18_v10,C5,141.27,35.95,63.575,False
1,61,B,b28_v2,C3,338.976,68.526,39.751,False
1,62,W,b18_v10,B6,142.44,37.565,65.754,False
1,63,B,b28_v2,D5,342.632,63.256,41.853,False
1,64,W,b18_v10,C6,142.384,40.857,61.324,False
1,65,B,b28_v2,E4,339.4,65.076,40.887,False
1,66,W,b18_v10,D3,140.37,38.948,64.978,False
1,67,B,b28_v2,E3,345.267,66.551,43.192,False
1,68,W,b18_v10,D2,141.3,37.369,66.617,False
1,69,B,b28_v2,E2,346.759,69.16,43.934,False
1,70,W,b18_v10,C2,141.496,35.66,64.659,False
1,71,B,b28_v2,D6,341.799,76.003,28.414,False
1,72,W,b18_v10,D7,141.88,22.888,77.572,False
1,73,B,b28_v2,E7,347.129,80.812,29.729,False
1,74,W,b18_v10,E8,140.656,27.387,73.484,False
1,75,B,b28_v2,C7,339.787,88.568,22.283,False
1,76,W,b18_v10,D8,141.373,30.078,75.075,False
1,77,B,b28_v2,B3,341.073,80.193,29.722,False
1,78,W,b18_v10,E5,141.256,21.4,74.911,False
1,79,B,b28_v2,E6,340.439,65.947,48.67,False
1,80,W,b18_v10,F5,140.592,33.729,58.618,False
1,81,B,b28_v2,G6,343.997,50.404,51.1,False
1,82,W,b18_v10,F4,143.203,35.818,51.347,False
1,83,B,b28_v2,B2,351.549,66.802,51.231,False
1,84,W,b18_v10,F2,145.966,44.477,70.48,False
1,85,B,b28_v2,B7,344.448,74.657,41.591,False
1,86,W,b18_v10,A5,140.847,44.049,38.985,False
1,87,B,b28_v2,A7,349.691,28.036,84.908,False
1,88,W,b18_v10,A6,140.904,59.553,48.993,False
1,89,B,b28_v2,C1,342.284,47.551,69.548,False
1,90,W,b18_v10,E1,141.909,51.788,62.783,False
1,91,B,b28_v2,A3,345.605,79.197,44.852,False
1,92,W,b18_v10,F6,141.92,19.598,87.337,False
1,93,B,b28_v2,F7,339.197,84.794,29.014,False
1,94,W,b18_v10,G7,141.836,11.005,91.843,False
1,95,B,b28_v2,F8,339.254,91.949,11.981,False
1,96,W,b18_v10,E9,140.588,7.49,96.144,False
1,97,B,b28_v2,G8,343.924,98.561,3.1,False
1,98,W,b18_v10,C8,141.91,3.144,98.343,False
1,99,B,b28_v2,A4,340.61,98.053,4.688,False
1,100,W,b18_v10,RESIGN,141.52,3.125,98.2,False
2,1,B,b28_v2,Q16,346.895,57.48,42.111,False
2,2,W,b18_v10,D4,144.529,40.845,58.551,False
2,3,B,b28_v2,Q3,342.668,56.946,42.921,False
2,4,W,b18_v10,D16,140.969,44.331,58.627,False
2,5,B,b28_v2,O17,341.037,58.685,41.582,False
2,6,W,b18_v10,R5,142.119,45.195,59.041,False
2,7,B,b28_v2,O4,343.84,58.63,42.544,False
2,8,W,b18_v10,R14,140.868,46.87,57.936,False
2,9,B,b28_v2,R15,341.348,58.923,44.153,False
2,10,W,b18_v10,Q14,144.67,47.754,58.744,False
2,11,B,b28_v2,R9,343.096,57.33,42.979,False
2,12,W,b18_v10,N14,140.847,47.994,58.616,False
2,13,B,b28_v2,R12,341.259,59.523,41.049,False
2,14,W,b18_v10,N16,140.023,46.621,60.754,False
2,15,B,b28_v2,N17,341.733,62.643,40.969,False
2,16,W,b18_v10,M16,140.1,45.24,60.655,False
2,17,B,b28_v2,L18,342.103,62.417,40.88,False
2,18,W,b18_v10,F3,140.077,44.759,62.061,False
2,19,B,b28_v2,R4,340.501,64.172,40.507,False
2,20,W,b18_v10,S4,141.826,42.467,62.215,False
2,21,B,b28_v2,S3,341.23,61.933,42.644,False
2,22,W,b18_v10,C10,140.729,42.381,60.84,False
2,23,B,b28_v2,P12,341.278,63.384,39.91,False
2,24,W,b18_v10,Q8,145.626,43.39,60.921,False
2,25,B,b28_v2,Q9,347.351,60.747,39.839,False
2,26,W,b18_v10,O8,141.437,42.565,61.323,False
2,27,B,b28_v2,K16,364.057,61.875,39.789,False
2,28,W,b18_v10,K15,139.99,42.836,60.463,False
2,29,B,b28_v2,J15,342.668,59.58,41.57,False
2,30,W,b18_v10,K14,140.07,43.184,60.686,False
2,31,B,b28_v2,J14,338.103,63.268,40.784,False
2,32,W,b18_v10,K13,150.326,41.416,62.654,False
2,33,B,b28_v2,J13,347.187,63.215,40.511,False
2,34,W,b18_v10,K12,144.512,39.665,62.651,False
2,35,B,b28_v2,C14,382.337,63.206,39.305,False
2,36,W,b18_v10,F17,142.022,39.855,63.142,False
2,37,B,b28_v2,B16,361.555,63.291,38.032,False
